id,name,set_code,set_name,rarity,grade,condition,quantity,base_price_NM,price_EX,price_GD,price_LP,price_PO,total_NM_value,total_effective_value,price_source
4929256,Mobius the Frost Monarch,SD4-EN012,Structure Deck: Fury from the Deep,Common,,,1,10.14,1.79,0.60,0.65,0.43,10.14,10.14,cardtrader
24094653,Polymerization,DP1-EN014,Duelist Pack: Jaden Yuki,Common,,,2,0.19,0.48,0.19,0.23,0.19,0.38,0.38,cardtrader
71218746,Drillroid,CRV-EN009,Cybernetic Revolution,Common,,,3,0.11,0.14,0.11,0.11,0.12,0.33,0.33,cardtrader
97077563,Call of the Haunted,DP04-EN025,Duelist Pack: Zane Truesdale,Common,,,1,0.19,0.16,0.11,0.11,0.11,0.19,0.19,cardtrader
213326,E - Emergency Call,EOJ-EN039,Enemy of Justice,Common,,,2,0.26,0.45,0.11,0.44,0.83,0.52,0.52,cardtrader
48381268,Morphtronic Boarden,CRMS-EN017,Crimson Crisis,Common,,,3,0.50,0.18,0.29,0.11,0.18,1.50,1.50,cardtrader
43697559,Jetroid,CRV-EN011,Cybernetic Revolution,Common,,,2,0.11,0.11,0.11,0.11,0.13,0.22,0.22,cardtrader
24311595,Rescueroid,POTD-EN011,Power of the Duelist,Common,,,2,0.23,0.11,0.11,0.13,0.11,0.46,0.46,cardtrader
75775867,Morphtronic Slingen,CRMS-EN018,Crimson Crisis,Common,,,2,0.29,0.17,0.18,0.11,0.11,0.58,0.58,cardtrader
28124263,Morphtronic Cameran,CSOC-EN010,Crossroads of Chaos,Common,,,2,0.25,0.11,0.17,0.13,0.11,0.50,0.50,cardtrader
85101228,Morphtronic Bind,RGBT-EN072,Raging Battle,Common,,,3,0.17,0.26,0.33,0.27,0.18,0.51,0.51,cardtrader
56074358,Morphtronic Map,CRMS-EN050,Crimson Crisis,Common,,,2,0.19,0.17,0.14,0.11,0.11,0.38,0.38,cardtrader
77229910,Morphtronic Forcefield,CRMS-EN072,Crimson Crisis,Common,,,1,0.18,0.11,0.11,0.11,0.11,0.18,0.18,cardtrader
71060915,Feather Wind,EEN-EN058,Elemental Energy,Common,,,1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,cardtrader
7030340,Factory of 100 Machines,CSOC-EN049,Crossroads of Chaos,Common,,,1,0.17,0.11,0.11,0.11,0.11,0.17,0.17,cardtrader
82639107,Convert Contact,DP06-EN016,Duelist Pack: Jaden Yuki 3,Common,,,1,0.30,0.11,0.11,0.11,0.14,0.30,0.30,cardtrader
70074904,D.D. Assailant,SDDE-EN017,The Dark Emperor Structure Deck,Common,,,1,2.10,0.48,0.22,0.19,2.09,2.10,2.10,cardtrader
17732278,Neo-Spacian Glow Moss,STON-EN006,Strike of Neos,Common,,,1,0.12,0.14,0.11,0.11,0.11,0.12,0.12,cardtrader
54497620,Gadget Driver,CSOC-EN014,Crossroads of Chaos,Common,,,1,0.14,0.11,0.14,0.13,0.13,0.14,0.14,cardtrader
45945685,Cycroid,CRV-EN001,Cybernetic Revolution,Common,,,1,0.18,0.11,0.11,0.11,0.11,0.18,0.18,cardtrader
24268052,Defense Draw,DP08-EN023,Duelist Pack: Yusei,Common,,,1,0.23,0.18,0.17,0.11,0.11,0.23,0.23,cardtrader
42015635,Neo Space,POTD-EN046,Power of the Duelist,Rare,,,1,0.90,4.85,0.34,0.58,0.49,0.90,0.90,cardtrader
47596607,Skyscraper 2 - Hero City,STON-EN048,Strike of Neos,Super Rare,,,1,0.50,0.40,0.29,0.33,0.15,0.50,0.50,cardtrader
21844576,Elemental HERO Avian,DP1-EN001,Duelist Pack: Jaden Yuki,Common,,,1,0.29,0.23,0.19,0.11,0.11,0.29,0.29,cardtrader
28284902,Morphtronic Monitron,CSOC-EN072,Crossroads of Chaos,Common,,,1,0.18,0.11,0.12,0.13,0.18,0.18,0.18,cardtrader
14613029,Morphtronic Mix-up,CRMS-EN073,Crimson Crisis,Common,,,2,0.11,0.14,0.12,0.11,0.11,0.22,0.22,cardtrader
95286165,De-Fusion,DP04-EN017,Duelist Pack: Zane Truesdale,Common,,,1,0.11,0.22,0.11,0.17,0.14,0.11,0.11,cardtrader
50684552,Wonder Garage,POTD-EN055,Power of the Duelist,Common,,,2,0.22,0.11,0.11,0.11,0.11,0.44,0.44,cardtrader
19024706,Hero Counterattack,DP06-EN023,Duelist Pack: Jaden Yuki 3,Common,,,1,0.19,0.18,0.11,0.11,0.11,0.19,0.19,cardtrader
4206964,Trap Hole,SKE-042,Starter Deck: Kaiba Evolution,Common,,,1,1.10,0.19,0.24,0.18,0.11,1.10,1.10,cardtrader
17363041,Chrysalis Chicky,TAEV-EN008,Tactical Evolution,Common,,,1,9.71,0.14,0.18,0.11,0.14,9.71,9.71,cardtrader
29246354,Chrysalis Pinny,TAEV-EN009,Tactical Evolution,Common,,,1,0.17,0.18,0.19,0.11,0.12,0.17,0.17,cardtrader
49469105,Revoke Fusion,DP06-EN020,Duelist Pack: Jaden Yuki 3,Rare,,,1,0.14,0.20,0.11,0.11,0.11,0.14,0.14,cardtrader
10489311,Hero Medal,DP06-EN021,Duelist Pack: Jaden Yuki 3,Common,,,2,0.11,0.11,0.11,0.11,0.11,0.22,0.22,cardtrader
18302224,Reverse of Neos,DP06-EN015,Duelist Pack: Jaden Yuki 3,Common,,,1,0.25,0.11,0.11,0.11,0.11,0.25,0.25,cardtrader
77565204,Future Fusion,POTD-EN044,Power of the Duelist,Rare,,,1,8.15,0.55,1.52,0.98,0.43,8.15,8.15,cardtrader
44676200,Hero Barrier,DP03-EN027,Duelist Pack: Jaden Yuki 2,Common,,,2,5.10,0.18,0.11,0.11,0.11,10.20,10.20,cardtrader
77414722,Magic Jammer,SD2-EN026,Structure Deck: Zombie Madness,Common,,,1,0.38,0.26,0.12,0.11,0.11,0.38,0.38,cardtrader
28002611,Gadget Hauler,CSOC-EN013,Crossroads of Chaos,Common,,,2,0.29,0.18,0.11,0.14,0.19,0.58,0.58,cardtrader
42682609,Chrysalis Dolphin,POTD-EN006,Power of the Duelist,Common,,,1,0.25,0.24,0.13,0.11,0.11,0.25,0.25,cardtrader
79979666,Elemental HERO Bubbleman,DP1-EN009,Duelist Pack: Jaden Yuki,Common,,,1,0.37,0.29,0.14,0.14,0.18,0.37,0.37,cardtrader
90239723,Morphtronic Repair Unit,RGBT-EN054,Raging Battle,Common,,,1,0.11,0.20,0.20,0.28,0.34,0.11,0.11,cardtrader
51043243,Worm Cartaros,HA01-EN019,Hidden Arsenal,Super Rare,,,3,0.19,0.18,0.11,0.11,0.11,0.57,0.57,cardtrader
88650530,Worm Apocalypse,HA01-EN017,Hidden Arsenal,Super Rare,,,3,0.19,0.11,0.18,0.14,0.13,0.57,0.57,cardtrader
70231910,Dark Core,SDDE-EN023,The Dark Emperor Structure Deck,Common,,,1,0.23,0.27,0.14,0.11,0.14,0.23,0.23,cardtrader
61127349,Big Bang Shot,SDDE-EN024,The Dark Emperor Structure Deck,Common,,,2,0.20,0.19,0.18,0.11,0.11,0.40,0.40,cardtrader
9126351,Swap Frog,SOVR-EN034,Stardust Overdrive,Common,,,1,0.98,0.59,0.77,0.54,0.60,0.98,0.98,cardtrader
60999392,Machina Soldier,SDMM-EN006,Machina Mayhem Structure Deck,Common,,,1,0.18,0.11,0.11,0.11,0.11,0.18,0.18,cardtrader
80769747,Iron Chain Snake,CSOC-EN018,Crossroads of Chaos,Common,,,1,0.18,0.18,0.11,0.18,0.18,0.18,0.18,cardtrader
31281980,Healing Wave Generator,CSOC-EN001,Crossroads of Chaos,Common,,,1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,cardtrader
65622692,Y-Dragon Head,DP2-EN006,Duelist Pack: Chazz Princeton,Common,,,1,0.21,0.18,0.11,0.11,0.11,0.21,0.21,cardtrader
64500000,Z-Metal Tank,DP2-EN007,Duelist Pack: Chazz Princeton,Common,,,1,0.39,0.18,0.11,0.12,0.11,0.39,0.39,cardtrader
86188410,Elemental HERO Wildheart,DP03-EN003,Duelist Pack: Jaden Yuki 2,Common,,,1,0.20,0.28,0.17,0.16,0.11,0.20,0.20,cardtrader
6480253,Wroughtweiler,DP1-EN007,Duelist Pack: Jaden Yuki,Common,,,1,0.11,0.19,0.21,0.13,0.12,0.11,0.11,cardtrader
69884162,Elemental HERO Neos Alius,DP06-EN005,Duelist Pack: Jaden Yuki 3,Common,,,1,0.40,0.16,0.13,0.11,0.11,0.40,0.40,cardtrader
84327329,Elemental HERO Clayman,YSD-EN009,Starter Deck 2006,Common,,,2,5.01,0.34,0.40,0.19,0.11,10.02,10.02,cardtrader
41436536,Elemental HERO Phoenix Enforcer,DP05-EN012,Duelist Pack: Aster Phoenix,Rare,,,1,18.27,2.06,2.10,1.70,0.45,18.27,18.27,cardtrader
61204971,Elemental HERO Thunder Giant,DP1-EN011,Duelist Pack: Jaden Yuki,Rare,,,1,2.10,3.21,0.60,0.40,0.19,2.10,2.10,cardtrader
14225239,Elemental HERO Mariner,EOJ-EN034,Enemy of Justice,Common,,,1,0.60,0.39,0.11,0.11,0.19,0.60,0.60,cardtrader
25119460,YZ-Tank Dragon,DR1-EN109,Dark Revelation Volume 1,Rare,,,1,34.51,4.56,0.62,18.98,0.60,34.51,34.51,cardtrader
18325492,Gyroid,CRV-EN007,Cybernetic Revolution,Common,,,1,0.22,0.13,0.11,0.11,0.11,0.22,0.22,cardtrader
27870033,Pursuit Chaser,CSOC-EN016,Crossroads of Chaos,Common,,,1,0.16,0.11,0.11,0.11,0.18,0.16,0.16,cardtrader
20721928,Elemental HERO Sparkman,YSD-EN010,Starter Deck 2006,Common,,,1,5.10,0.23,0.25,0.19,0.18,5.10,5.10,cardtrader
68005187,Soul Exchange,SDRL-EN021,Rise of the Dragon Lords Structure Deck,Common,,,1,3.21,0.24,0.18,0.28,0.11,3.21,3.21,cardtrader
81566151,Elemental HERO Flare Neos,DP03-EN013,Duelist Pack: Jaden Yuki 2,Rare,,,1,10.14,2.10,1.65,1.45,0.99,10.14,10.14,cardtrader
10526791,Elemental HERO Wildedge,DP03-EN010,Duelist Pack: Jaden Yuki 2,Rare,,,1,4.11,5.64,0.59,0.60,1.00,4.11,4.11,cardtrader
47737087,Elemental HERO Rampart Blaster,DP1-EN012,Duelist Pack: Jaden Yuki,Rare,,,1,3.09,0.29,0.36,0.39,0.19,3.09,3.09,cardtrader
58932615,Elemental HERO Burstinatrix,YSD-EN008,Starter Deck 2006,Common,,,1,4.37,2.09,0.30,0.11,0.13,4.37,4.37,cardtrader
43452193,Mirror Gate,DP06-EN022,Duelist Pack: Jaden Yuki 3,Common,,,1,0.28,0.16,0.11,0.11,0.11,0.28,0.28,cardtrader
43237273,Neo-Spacian Dark Panther,DP03-EN007,Duelist Pack: Jaden Yuki 2,Rare,,,1,10.14,1.10,0.80,2.43,0.50,10.14,10.14,cardtrader
63703130,O - Oversoul,EOJ-EN041,Enemy of Justice,Common,,,1,0.11,0.16,0.11,0.11,0.11,0.11,0.11,cardtrader
17955766,Neo-Spacian Aqua Dolphin,DP03-EN005,Duelist Pack: Jaden Yuki 2,Rare,,,1,0.45,0.78,0.41,0.34,0.25,0.45,0.45,cardtrader
95943058,Evil HERO Infernal Gainer,DP06-EN007,Duelist Pack: Jaden Yuki 3,Common,,,1,0.28,0.17,0.11,0.11,0.11,0.28,0.28,cardtrader
95281259,The Warrior Returning Alive,DP1-EN016,Duelist Pack: Jaden Yuki,Common,,,1,0.29,0.19,0.15,0.11,0.11,0.29,0.29,cardtrader
22020907,Hero Signal,DP1-EN028,Duelist Pack: Jaden Yuki,Common,,,1,0.11,0.36,0.14,0.11,0.12,0.11,0.11,cardtrader
58932615,Elemental HERO Burstinatrix,DP1-EN002,Duelist Pack: Jaden Yuki,Common,,,1,1.78,0.19,0.19,0.12,0.11,1.78,1.78,cardtrader
36378213,Ambulanceroid,POTD-EN009,Power of the Duelist,Common,,,1,0.17,0.11,0.11,0.11,0.11,0.17,0.17,cardtrader
77565204,Future Fusion,DP04-EN023,Duelist Pack: Zane Truesdale,Common,,,1,0.18,0.26,0.18,0.11,0.14,0.18,0.18,cardtrader
23299957,Vehicroid Connection Zone,POTD-EN040,Power of the Duelist,Common,,,1,0.19,0.12,0.14,0.13,0.12,0.19,0.19,cardtrader
98927491,Ambulance Rescueroid,POTD-EN035,Power of the Duelist,Common,,,1,0.17,0.11,0.12,0.11,0.11,0.17,0.17,cardtrader
71930383,Patroid,CRV-EN006,Cybernetic Revolution,Common,,,2,0.11,0.11,0.11,0.11,0.11,0.22,0.22,cardtrader
92720564,Morphtronic Boomboxen,CSOC-EN009,Crossroads of Chaos,Rare,,,2,0.20,5.10,1.95,2.00,0.60,0.40,0.40,cardtrader
99861526,Submarineroid,POTD-EN008,Power of the Duelist,Rare,,,1,1.10,0.27,0.33,0.19,0.18,1.10,1.10,cardtrader
31467372,Everliving Underworld Cannon,CSOC-EN060,Crossroads of Chaos,Common,,,1,0.11,0.14,0.11,0.11,0.18,0.11,0.11,cardtrader
5973663,The World Tree,CSOC-EN059,Crossroads of Chaos,Rare,,,1,0.34,0.56,5.11,0.29,0.12,0.34,0.34,cardtrader
55144522,Pot of Greed,SD1-EN015,Structure Deck: Dragon's Roar,Common,,,1,7.13,3.61,3.71,3.21,2.09,7.13,7.13,cardtrader
30241314,Macro Cosmos,SDDE-EN036,The Dark Emperor Structure Deck,Common,,,1,0.39,0.28,0.19,0.28,0.17,0.39,0.39,cardtrader
72237166,Samsara Kaiser,SDDE-EN003,The Dark Emperor Structure Deck,Common,,,1,0.22,0.11,0.11,0.11,0.11,0.22,0.22,cardtrader
36584821,Gren Maju Da Eiza,SDDE-EN013,The Dark Emperor Structure Deck,Common,,,1,0.38,0.14,0.17,0.17,0.34,0.38,0.38,cardtrader
4334811,Scrap Recycler,SDMM-EN004,Machina Mayhem Structure Deck,Common,,,1,0.40,0.25,0.48,0.59,0.59,0.40,0.40,cardtrader
37043180,D.D. Warrior,SDDE-EN006,The Dark Emperor Structure Deck,Common,,,1,0.22,0.17,0.11,0.14,0.13,0.22,0.22,cardtrader
40133511,Bazoo the Soul-Eater,SDDE-EN008,The Dark Emperor Structure Deck,Common,,,2,0.23,0.11,0.11,0.11,0.11,0.46,0.46,cardtrader
48092532,D.D. Survivor,SDDE-EN014,The Dark Emperor Structure Deck,Common,,,2,0.15,0.17,0.11,0.11,0.11,0.30,0.30,cardtrader
23282832,Over Limit,DP06-EN024,Duelist Pack: Jaden Yuki 3,Common,,,2,0.18,0.11,0.11,0.11,0.11,0.36,0.36,cardtrader
67159705,Armored Cybern,PTDN-EN009,Phantom Darkness,Common,,,1,0.13,0.13,0.11,0.11,0.11,0.13,0.13,cardtrader
50400231,Satellite Cannon,TU01-EN007,Turbo Pack: Booster One,Rare,,,2,1.00,0.50,0.24,0.55,0.35,2.00,2.00,cardtrader
13093792,Destiny HERO - Diamond Dude,TU03-EN012,Turbo Pack: Booster Three,Common,,,1,0.19,0.24,0.24,0.19,0.43,0.19,0.19,cardtrader
27408609,Golden Homunculus,SDDE-EN004,The Dark Emperor Structure Deck,Common,,,1,0.59,0.16,0.14,0.11,0.11,0.59,0.59,cardtrader
64752646,Fire Princess,GLD1-EN005,Gold Series,Common,,,1,3.10,3.10,1.35,1.10,0.59,3.10,3.10,cardtrader
9666558,Golem Dragon,TU06-EN019,Turbo Pack: Booster Six,Common,,,1,0.81,0.38,0.80,0.45,0.69,0.81,0.81,cardtrader
94853057,Banisher of the Radiance,SDDE-EN016,The Dark Emperor Structure Deck,Common,,,2,0.11,0.17,0.14,0.11,0.11,0.22,0.22,cardtrader
45985838,Solar Flare Dragon,GLD1-EN019,Gold Series,Common,,,2,3.10,0.55,1.38,1.10,3.09,6.20,6.20,cardtrader
23265594,Heavy Mech Support Platform,SDMM-EN012,Machina Mayhem Structure Deck,Common,,,1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,cardtrader
67159705,Armored Cybern,SDMM-EN018,Machina Mayhem Structure Deck,Common,,,1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,cardtrader
59575539,Krebons,TDGS-EN018,The Duelist Genesis,Common,,,2,0.29,0.28,0.11,0.11,0.12,0.58,0.58,cardtrader
23771716,7 Colored Fish,GLD1-EN001,Gold Series,Common,,,1,0.26,0.34,0.29,0.14,0.19,0.26,0.26,cardtrader
22666164,Commander Covington,SDMM-EN005,Machina Mayhem Structure Deck,Common,,,1,0.18,0.11,0.11,0.11,0.11,0.18,0.18,cardtrader
25771826,Ally of Justice Garadholg,HA01-EN015,Hidden Arsenal,Super Rare,,,1,0.19,0.11,0.11,0.13,0.14,0.19,0.19,cardtrader
89386122,Ally of Justice Clausolas,HA01-EN014,Hidden Arsenal,Super Rare,,,2,0.19,0.11,0.11,0.11,0.11,0.38,0.38,cardtrader
21615956,Flamvell Guard,HA01-EN009,Hidden Arsenal,Super Rare,,,1,0.11,0.11,0.45,0.32,0.11,0.11,0.11,cardtrader
68226653,Flamvell Dragnov,HA01-EN007,Hidden Arsenal,Super Rare,,,1,0.11,0.18,0.15,0.11,0.11,0.11,0.11,cardtrader
52265835,Ally of Justice Rudra,HA01-EN016,Hidden Arsenal,Super Rare,,,1,0.12,0.11,0.13,0.11,0.11,0.12,0.12,cardtrader
16191953,Master Gig,RGBT-ENPP5,Duelist Pack Collection Tin 2009,Super Rare,,,1,2.35,2.07,1.70,1.29,0.82,2.35,2.35,unavailable
20450925,Hanewata,CSOC-EN034,Crossroads of Chaos,Super Rare,,,1,2.95,0.48,0.57,0.55,0.18,2.95,2.95,cardtrader
74131780,Exiled Force,SDDE-EN009,The Dark Emperor Structure Deck,Common,,,2,0.23,0.11,0.28,0.24,0.14,0.46,0.46,cardtrader
33248692,Option Hunter,SOI-EN058,Shadow of Infinity,Rare,,,1,0.12,0.24,0.25,0.12,0.11,0.12,0.12,cardtrader
36256625,Super Vehicroid Jumbo Drill,POTD-EN036,Power of the Duelist,Super Rare,,,1,5.10,0.90,2.00,1.04,0.24,5.10,5.10,cardtrader
70423794,Morphtronic Cord,CSOC-EN051,Crossroads of Chaos,Common,,,1,0.19,0.17,0.11,0.19,0.18,0.19,0.19,cardtrader
93369354,Fishborg Blaster,ANPR-EN027,Ancient Prophecy,Common,,,1,2.50,1.30,1.81,2.09,0.88,2.50,2.50,cardtrader
18511384,Fusion Recovery,CRV-EN038,Cybernetic Revolution,Common,,,1,0.13,0.14,0.11,0.11,0.11,0.13,0.13,cardtrader
26302522,Blast Sphere,SDMM-EN011,Machina Mayhem Structure Deck,Common,,,1,0.38,0.19,0.11,0.12,0.13,0.38,0.38,cardtrader
44424095,Morphtronic Accelerator,CSOC-EN050,Crossroads of Chaos,Rare,,,1,3.10,3.19,2.25,2.40,3.10,3.10,3.10,cardtrader
53582587,Torrential Tribute,SDDE-EN031,The Dark Emperor Structure Deck,Common,,,1,0.38,0.38,0.19,0.21,0.19,0.38,0.38,cardtrader
51638941,V-Tiger Jet,DP2-EN001,Duelist Pack: Chazz Princeton,Common,,,1,0.23,0.19,0.12,0.11,0.11,0.23,0.23,cardtrader
66331855,Morphtronic Datatron,CSOC-EN008,Crossroads of Chaos,Common,,,1,0.11,0.11,0.12,0.11,0.19,0.11,0.11,cardtrader
96300057,W-Wing Catapult,DP2-EN008,Duelist Pack: Chazz Princeton,Common,,,1,0.29,0.11,0.11,0.11,0.11,0.29,0.29,cardtrader
9622164,D.D.R. - Different Dimension Reincarnation,SDDE-EN018,The Dark Emperor Structure Deck,Common,,,1,0.29,0.28,0.18,0.17,0.19,0.29,0.29,cardtrader
14936691,Worm Erokin,HA01-EN021,Hidden Arsenal,Secret Rare,,,1,0.28,0.25,0.20,0.15,0.10,0.28,0.28,unavailable
